"ref_area.label","source.label","indicator.label","sex.label","time","obs_value","obs_status.label","note_indicator.label","note_source.label"
"Aruba","PC - Population and Housing Census","Share of youth not in employment, education or training (NEET) by sex (%)","Total","2010",16.56,,,"Data reference period: September"
"Aruba","PC - Population and Housing Census","Share of youth not in employment, education or training (NEET) by sex (%)","Male","2010",17.4,,,"Data reference period: September"
"Aruba","PC - Population and Housing Census","Share of youth not in employment, education or training (NEET) by sex (%)","Female","2010",15.64,,,"Data reference period: September"
"Afghanistan","LFS - Labour Force Survey","Share of youth not in employment, education or training (NEET) by sex (%)","Total","2021",43.769,,,"Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter"
"Afghanistan","LFS - Labour Force Survey","Share of youth not in employment, education or training (NEET) by sex (%)","Male","2021",19.632,,,"Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter"
"Afghanistan","LFS - Labour Force Survey","Share of youth not in employment, education or training (NEET) by sex (%)","Female","2021",65.079,,,"Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter"
"Afghanistan","LFS - Labour Force Survey","Share of youth not in employment, education or training (NEET) by sex (%)","Total","2020",53.764,"Break in series","Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","LFS - Labour Force Survey","Share of youth not in employment, education or training (NEET) by sex (%)","Male","2020",32.164,"Break in series","Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","LFS - Labour Force Survey","Share of youth not in employment, education or training (NEET) by sex (%)","Female","2020",74.011,"Break in series","Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","HIES - Households Living Conditions Survey","Share of youth not in employment, education or training (NEET) by sex (%)","Total","2017",42.84,,,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","HIES - Households Living Conditions Survey","Share of youth not in employment, education or training (NEET) by sex (%)","Male","2017",18.638,,,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","HIES - Households Living Conditions Survey","Share of youth not in employment, education or training (NEET) by sex (%)","Female","2017",67.177,,,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","HIES - Households Living Conditions Survey","Share of youth not in employment, education or training (NEET) by sex (%)","Total","2014",35.058,,,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","HIES - Households Living Conditions Survey","Share of youth not in employment, education or training (NEET) by sex (%)","Male","2014",12.753,,,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","HIES - Households Living Conditions Survey","Share of youth not in employment, education or training (NEET) by sex (%)","Female","2014",57.873,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Share of youth not in employment, education or training (NEET) by sex (%)","Total","2024",24.564,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Share of youth not in employment, education or training (NEET) by sex (%)","Male","2024",23.108,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Share of youth not in employment, education or training (NEET) by sex (%)","Female","2024",25.981,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Share of youth not in employment, education or training (NEET) by sex (%)","Total","2023",21.383,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Share of youth not in employment, education or training (NEET) by sex (%)","Male","2023",20.897,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Share of youth not in employment, education or training (NEET) by sex (%)","Female","2023",21.855,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Share of youth not in employment, education or training (NEET) by sex (%)","Total","2022",24.766,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Share of youth not in employment, education or training (NEET) by sex (%)","Male","2022",23.492,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Share of youth not in employment, education or training (NEET) by sex (%)","Female","2022",25.999,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Share of youth not in employment, education or training (NEET) by sex (%)","Total","2021",28.126,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Share of youth not in employment, education or training (NEET) by sex (%)","Male","2021",26.71,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Share of youth not in employment, education or training (NEET) by sex (%)","Female","2021",29.492,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Share of youth not in employment, education or training (NEET) by sex (%)","Total","2020",27.286,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Share of youth not in employment, education or training (NEET) by sex (%)","Male","2020",25.031,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Share of youth not in employment, education or training (NEET) by sex (%)","Female","2020",29.452,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Share of youth not in employment, education or training (NEET) by sex (%)","Total","2019",22.922,"Break in series","Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Share of youth not in employment, education or training (NEET) by sex (%)","Male","2019",19.636,"Break in series","Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Share of youth not in employment, education or training (NEET) by sex (%)","Female","2019",26.067,"Break in series","Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Angola","PC - Population Census","Share of youth not in employment, education or training (NEET) by sex (%)","Total","2014",30.622,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","PC - Population Census","Share of youth not in employment, education or training (NEET) by sex (%)","Male","2014",24.533,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","PC - Population Census","Share of youth not in employment, education or training (NEET) by sex (%)","Female","2014",36.192,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","HS - Core Welfare Indicators Questionnaire","Share of youth not in employment, education or training (NEET) by sex (%)","Total","2011",10.009,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","HS - Core Welfare Indicators Questionnaire","Share of youth not in employment, education or training (NEET) by sex (%)","Male","2011",7.613,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","HS - Core Welfare Indicators Questionnaire","Share of youth not in employment, education or training (NEET) by sex (%)","Female","2011",12.23,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","HS - Core Welfare Indicators Questionnaire","Share of youth not in employment, education or training (NEET) by sex (%)","Total","2009",25.812,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","HS - Core Welfare Indicators Questionnaire","Share of youth not in employment, education or training (NEET) by sex (%)","Male","2009",20.263,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","HS - Core Welfare Indicators Questionnaire","Share of youth not in employment, education or training (NEET) by sex (%)","Female","2009",30.846,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","HS - Core Welfare Indicators Questionnaire","Share of youth not in employment, education or training (NEET) by sex (%)","Total","2004",30.957,"Break in series","Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
