"ref_area.label","source.label","indicator.label","sex.label","time","obs_value","obs_status.label","note_indicator.label","note_source.label"
"Afghanistan","LFS - Labour Force Survey","Informal employment rate by sex (%)","Total","2021",86.125,,,"Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter"
"Afghanistan","LFS - Labour Force Survey","Informal employment rate by sex (%)","Male","2021",82.633,,,"Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter"
"Afghanistan","LFS - Labour Force Survey","Informal employment rate by sex (%)","Female","2021",97.295,,,"Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter"
"Angola","LFS - Employment Survey","Informal employment rate by sex (%)","Total","2024",95.276,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Informal employment rate by sex (%)","Male","2024",93.173,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Informal employment rate by sex (%)","Female","2024",97.287,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Informal employment rate by sex (%)","Total","2023",95.188,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Informal employment rate by sex (%)","Male","2023",93.103,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Informal employment rate by sex (%)","Female","2023",97.174,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Informal employment rate by sex (%)","Total","2022",92.135,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Informal employment rate by sex (%)","Male","2022",88.742,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Informal employment rate by sex (%)","Female","2022",95.394,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Informal employment rate by sex (%)","Total","2021",89.395,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Informal employment rate by sex (%)","Male","2021",84.069,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Informal employment rate by sex (%)","Female","2021",94.566,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Informal employment rate by sex (%)","Total","2020",89.104,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Informal employment rate by sex (%)","Male","2020",83.316,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Informal employment rate by sex (%)","Female","2020",94.702,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Informal employment rate by sex (%)","Total","2019",88.056,"Break in series","Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Informal employment rate by sex (%)","Male","2019",81.992,"Break in series","Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Angola","LFS - Employment Survey","Informal employment rate by sex (%)","Female","2019",93.92,"Break in series","Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Angola","HS - Core Welfare Indicators Questionnaire","Informal employment rate by sex (%)","Total","2011",84.316,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","HS - Core Welfare Indicators Questionnaire","Informal employment rate by sex (%)","Male","2011",77.162,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","HS - Core Welfare Indicators Questionnaire","Informal employment rate by sex (%)","Female","2011",91.334,,,"Repository: ILO-STATISTICS - Micro data processing"
"Angola","HS - Core Welfare Indicators Questionnaire","Informal employment rate by sex (%)","Total","2004",79.162,"Break in series","Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Angola","HS - Core Welfare Indicators Questionnaire","Informal employment rate by sex (%)","Male","2004",70.479,"Break in series","Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Angola","HS - Core Welfare Indicators Questionnaire","Informal employment rate by sex (%)","Female","2004",89.021,"Break in series","Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Argentina","LFS - Permanent Household Survey, Urban","Informal employment rate by sex (%)","Total","2024",51.576,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Informal employment rate by sex (%)","Male","2024",51.29,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Informal employment rate by sex (%)","Female","2024",51.933,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Informal employment rate by sex (%)","Total","2023",50.445,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Informal employment rate by sex (%)","Male","2023",50.789,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Informal employment rate by sex (%)","Female","2023",50.011,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
